x	y
401.84	25.3487364550063
404.09	23.6340302492283
406.35	21.5370985050294
408.61	18.8447866068298
410.86	15.5872428972802
413.12	12.0308283268806
415.37	8.58542883257014
417.63	5.65677968097567
419.88	3.50927816114645
422.13	2.20208436845328
424.38	1.60146445938362
426.63	1.46464240430681
428.88	1.55576229408903
431.12	1.74191749391817
433.37	2.02745507718144
435.62	2.52011243635732
437.86	3.36047184170345
440.1	4.62908803076042
442.35	6.28490634484928
444.59	8.15941814292066
446.83	9.99485578350242
449.07	11.5157423045947
451.31	12.5052112511145
453.54	12.8604665583165
455.78	12.6013886732511
458.02	11.845065845474
460.25	10.7623833129695
462.49	9.52050029865353
464.72	8.24771666779298
466.95	7.02205808702763
469.18	5.87435770231182
471.41	4.80961024914379
473.64	3.82885465763281
475.87	2.94007140008027
478.1	2.1612058098283
480.32	1.51677585509007
482.55	1.02314320104977
484.77	0.680448040934517
487	0.471936830888772
489.22	0.365946970052585
491.44	0.328323102820238
493.66	0.338116482291128
495.88	0.401175787190724
498.1	0.549678362012125
500.32	0.831643546102979
502.54	1.29001037467085
504.75	1.93331980374822
506.97	2.72384680617844
509.18	3.58308839391863
511.39	4.4173245046483
513.61	5.15831318628098
515.82	5.7876513635467
518.03	6.3369083651744
520.24	6.85752429716461
522.45	7.36530549586742
524.65	7.80279743051013
526.86	8.03851759684278
529.07	7.91449989187408
531.27	7.3388173222352
533.48	6.36516931869976
535.68	5.21589345179305
537.88	4.22869630107606
540.08	3.72103865331468
542.28	3.83770247749112
544.48	4.46883415025718
546.68	5.27841177382828
548.88	5.86147608374727
551.07	5.97191655204294
553.27	5.69918383940217
555.46	5.50396078446763
557.66	6.06560691715484
559.85	7.97066686517253
562.04	11.380511740722
564.23	15.8233994430385
566.42	20.2414347540839
568.61	23.3129396860877
570.8	23.9400646482009
572.99	21.7253460180168
575.17	17.2005483679493
577.36	11.6892089113444
579.54	6.82161139830787
581.73	3.87612794339881
583.91	3.22786094470284
586.09	4.17453547546221
588.27	5.26615687963418
590.45	5.03774805681166
592.63	2.84917015845027
594.81	-0.572761093754228
596.99	-3.20254992733055
599.16	-2.43999405057044
601.34	3.76571353535583
603.51	15.8381180772669
605.69	32.0249209052205
607.86	48.6928534060141
610.03	61.4576052477757
612.2	66.6720719549393
614.37	62.7252313586895
616.54	50.7049199673257
618.71	33.9951739824932
620.87	17.0432653366081
623.04	3.89403662067058
625.21	-3.07807826759548
627.37	-3.74501283914363
629.53	0.090799747059686
631.7	5.61106293512825
633.86	10.0969999209812
636.02	11.8368036935951
638.18	10.5105241044906
640.34	7.01578651034121
642.49	2.89776078236275
644.65	-0.325570736587574
646.81	-1.674820829496
648.96	-0.926168729834901
651.12	1.46176442968446
653.27	4.61317112381765
655.42	7.56589500182996
657.58	9.55331340986927
659.73	10.1756273394463
661.88	9.44709841300744
664.03	7.72633557210863
666.17	5.5625983273218
668.32	3.51581583094215
670.47	1.99463036425666
672.61	1.16493950240199
674.76	0.943856012741551
676.9	1.07285214804262
679.04	1.25046971080568
681.18	1.25216445445591
683.33	1.01129992278959
685.47	0.634781928771058
687.6	0.332808530461213
689.74	0.322634176077346
691.88	0.729036353448931
694.02	1.51876339386027
696.15	2.51398645762591
698.29	3.44809267658073
700.42	4.0608546128993
702.55	4.19497300415828
704.68	3.842144569225
706.82	3.14602105615749
708.95	2.34978492035531
711.07	1.7066003111956
713.2	1.39908967653178
715.33	1.48724308092606
717.46	1.89781531665817
719.58	2.46569768314493
